Gene_id	T14A	T0A	T0B	T14B
MSTRG.10289	0	0	0	0
MSTRG.1029	0	0	0	0
MSTRG.10290	0	0	0	0
MSTRG.10291	0	0	0	0
MSTRG.10292	0	0	0	0
MSTRG.10293	0	0	0	0
MSTRG.10294	0	0	0	0
MSTRG.10295	0	0	0	0
MSTRG.10296	0	0	0	0
MSTRG.10297	0	0	0	0
MSTRG.10298	0	0	0	0
MSTRG.10299	0	0	0	0
MSTRG.103	0	0	0	0
MSTRG.1030	0	0	0	0
MSTRG.10300	0	0	0	0
MSTRG.10301	0	0	0	0
MSTRG.10302	0	0	0	0
MSTRG.10303	0	0	0	0
MSTRG.10304	0	0	0	0
MSTRG.10305	0	0	0	0
MSTRG.10306	0	0	0	0
MSTRG.10307	0	0	0	0
MSTRG.10308	0	0	0	0
MSTRG.10309	0	0	0	0
MSTRG.1031	0	0	0	0
MSTRG.10310	0	0	0	0
MSTRG.10311	0	0	0	0
MSTRG.10312	0	0	0	0
MSTRG.10313	0	0	0	0
MSTRG.10314	0	0	0	0
MSTRG.10315	0	0	0	0
MSTRG.10316	0	0	0	0
MSTRG.10317	0	0	0	0
MSTRG.10318	0	0	0	0
MSTRG.10319	0	0	0	0
MSTRG.1032	0	0	0	0
MSTRG.10320	0	0	0	0
MSTRG.10321	0	0	0	0
MSTRG.10322	0	0	0	0
MSTRG.10323	0	0	0	0
MSTRG.10324	0	0	0	0
MSTRG.10325	0	0	0	0
MSTRG.10326	0	0	0	0
MSTRG.10327	0	0	0	0
MSTRG.10328	0	0	0	0
MSTRG.10329	0	0	0	0
MSTRG.1033	0	0	0	0
MSTRG.10330	0	0	0	0
MSTRG.10331	0	0	0	0
MSTRG.10332	0	0	0	0
MSTRG.10333	0	0	0	0
MSTRG.10334	0	0	0	0
MSTRG.10335	0	0	0	0
MSTRG.10336	0	0	0	0
MSTRG.10337	0	0	0	0
MSTRG.10338	0	0	0	0
MSTRG.10339	0	0	0	0
MSTRG.1034	0	0	0	0
MSTRG.10340	0	0	0	0
MSTRG.10341	0	0	0	0
MSTRG.10342	0	0	0	0
MSTRG.10343	0	0	0	0
MSTRG.10344	0	0	0	0
MSTRG.10345	0	0	0	0
